,work_year,experience_level,job_title,salary,salary_currency,salary_in_usd,company_location,company_size
49,2020,MI,Data Engineer,61500,EUR,70139,FR,L
50,2020,EN,Data Analyst,450000,INR,6072,IN,S
51,2020,EN,Data Analyst,91000,USD,91000,US,L
52,2020,EN,AI Scientist,300000,DKK,45896,DK,S
53,2020,EN,Data Engineer,48000,EUR,54742,DE,L
54,2020,SE,Computer Vision Engineer,60000,USD,60000,US,S
55,2020,SE,Principal Data Scientist,130000,EUR,148261,DE,M
56,2020,MI,Data Scientist,34000,EUR,38776,ES,M
57,2020,MI,Data Scientist,118000,USD,118000,US,M
58,2020,SE,Data Scientist,120000,USD,120000,US,L
59,2020,MI,Data Scientist,138350,USD,138350,US,M
60,2020,MI,Data Engineer,110000,USD,110000,US,L
61,2020,MI,Data Engineer,130800,USD,130800,US,M
62,2020,EN,Data Scientist,19000,EUR,21669,IT,S
63,2020,SE,Data Scientist,412000,USD,412000,US,L
64,2020,SE,Machine Learning Engineer,40000,EUR,45618,HR,S
65,2020,EN,Data Scientist,55000,EUR,62726,DE,S
66,2020,EN,Data Scientist,43200,EUR,49268,DE,S
67,2020,SE,Data Science Manager,190200,USD,190200,US,M
68,2020,EN,Data Scientist,105000,USD,105000,US,S
69,2020,SE,Data Scientist,80000,EUR,91237,AT,S
70,2020,MI,Data Scientist,55000,EUR,62726,LU,S
71,2020,MI,Data Scientist,37000,EUR,42197,FR,S
72,2021,EN,Research Scientist,60000,GBP,82528,GB,L
73,2021,EX,BI Data Analyst,150000,USD,150000,US,L
74,2021,EX,Head of Data,235000,USD,235000,US,L
75,2021,SE,Data Scientist,45000,EUR,53192,FR,L
76,2021,MI,BI Data Analyst,100000,USD,100000,US,M
77,2021,MI,3D Computer Vision Researcher,400000,INR,5409,IN,M
78,2021,MI,ML Engineer,270000,USD,270000,US,L
79,2021,EN,Data Analyst,80000,USD,80000,US,M
80,2021,SE,Data Analytics Engineer,67000,EUR,79197,DE,L
81,2021,MI,Data Engineer,140000,USD,140000,US,L
82,2021,MI,Applied Data Scientist,68000,CAD,54238,CA,L
83,2021,MI,Machine Learning Engineer,40000,EUR,47282,ES,S
84,2021,EX,Director of Data Science,130000,EUR,153667,PL,L
85,2021,MI,Data Engineer,110000,PLN,28476,PL,L
86,2021,EN,Data Analyst,50000,EUR,59102,FR,M
87,2021,MI,Data Analytics Engineer,110000,USD,110000,US,L
88,2021,SE,Lead Data Analyst,170000,USD,170000,US,L
89,2021,SE,Data Analyst,80000,USD,80000,US,S
90,2021,SE,Marketing Data Analyst,75000,EUR,88654,DK,L
91,2021,EN,Data Science Consultant,65000,EUR,76833,DE,S
92,2021,MI,Lead Data Analyst,1450000,INR,19609,IN,L
93,2021,SE,Lead Data Engineer,276000,USD,276000,US,L
94,2021,EN,Data Scientist,2200000,INR,29751,IN,L
95,2021,MI,Cloud Data Engineer,120000,SGD,89294,SG,L
96,2021,EN,AI Scientist,12000,USD,12000,US,S
97,2021,MI,Financial Data Analyst,450000,USD,450000,US,L
98,2021,EN,Computer Vision Software Engineer,70000,USD,70000,US,M
99,2021,MI,Computer Vision Software Engineer,81000,EUR,95746,US,S
100,2021,MI,Data Analyst,75000,USD,75000,US,L
101,2021,SE,Data Engineer,150000,USD,150000,US,L
102,2021,MI,BI Data Analyst,11000000,HUF,36259,US,L
103,2021,MI,Data Analyst,62000,USD,62000,US,L
104,2021,MI,Data Scientist,73000,USD,73000,US,L
105,2021,MI,Data Analyst,37456,GBP,51519,GB,L
106,2021,MI,Research Scientist,235000,CAD,187442,CA,L
107,2021,SE,Data Engineer,115000,USD,115000,US,S
108,2021,SE,Data Engineer,150000,USD,150000,US,M
109,2021,EN,Data Engineer,2250000,INR,30428,IN,L
110,2021,SE,Machine Learning Engineer,80000,EUR,94564,DE,L
111,2021,SE,Director of Data Engineering,82500,GBP,113476,GB,M
112,2021,SE,Lead Data Engineer,75000,GBP,103160,GB,S
113,2021,EN,AI Scientist,12000,USD,12000,US,M
114,2021,MI,Data Engineer,38400,EUR,45391,NL,L
115,2021,EN,Machine Learning Scientist,225000,USD,225000,US,L
116,2021,MI,Data Scientist,50000,USD,50000,NG,L
117,2021,MI,Data Science Engineer,34000,EUR,40189,GR,M
118,2021,EN,Data Analyst,90000,USD,90000,US,S
119,2021,MI,Data Engineer,200000,USD,200000,US,L
120,2021,MI,Big Data Engineer,60000,USD,60000,RO,M
121,2021,SE,Principal Data Engineer,200000,USD,200000,US,M
122,2021,EN,Data Analyst,50000,USD,50000,US,M
123,2021,EN,Applied Data Scientist,80000,GBP,110037,GB,L
124,2021,EN,Data Analyst,8760,EUR,10354,ES,M
125,2021,MI,Principal Data Scientist,151000,USD,151000,US,L
126,2021,SE,Machine Learning Scientist,120000,USD,120000,US,S
127,2021,MI,Data Scientist,700000,INR,9466,IN,S
128,2021,EN,Machine Learning Engineer,20000,USD,20000,IN,S
129,2021,SE,Lead Data Scientist,3000000,INR,40570,IN,L
130,2021,EN,Machine Learning Developer,100000,USD,100000,IQ,S
131,2021,EN,Data Scientist,42000,EUR,49646,FR,M
132,2021,MI,Applied Machine Learning Scientist,38400,USD,38400,US,M
133,2021,SE,Computer Vision Engineer,24000,USD,24000,BR,M
134,2021,EN,Data Scientist,100000,USD,100000,US,S
135,2021,MI,Data Analyst,90000,USD,90000,US,M
136,2021,MI,ML Engineer,7000000,JPY,63711,JP,S
137,2021,MI,ML Engineer,8500000,JPY,77364,JP,S
138,2021,SE,Principal Data Scientist,220000,USD,220000,US,L
139,2021,EN,Data Scientist,80000,USD,80000,US,M
140,2021,MI,Data Analyst,135000,USD,135000,US,L
141,2021,SE,Data Science Manager,240000,USD,240000,US,L
142,2021,SE,Data Engineering Manager,150000,USD,150000,US,L
143,2021,MI,Data Scientist,82500,USD,82500,US,S
144,2021,MI,Data Engineer,100000,USD,100000,US,L
145,2021,SE,Machine Learning Engineer,70000,EUR,82744,BE,M
146,2021,MI,Research Scientist,53000,EUR,62649,FR,M
147,2021,MI,Data Engineer,90000,USD,90000,US,L
148,2021,SE,Data Engineering Manager,153000,USD,153000,US,L
149,2021,SE,Cloud Data Engineer,160000,USD,160000,US,S
150,2021,SE,Director of Data Science,168000,USD,168000,JP,S
151,2021,MI,Data Scientist,150000,USD,150000,US,M
152,2021,MI,Data Scientist,95000,CAD,75774,CA,L
153,2021,EN,Data Scientist,13400,USD,13400,UA,L
154,2021,SE,Data Science Manager,144000,USD,144000,US,L
155,2021,SE,Data Science Engineer,159500,CAD,127221,CA,L
156,2021,MI,Data Scientist,160000,SGD,119059,IL,M
157,2021,MI,Applied Machine Learning Scientist,423000,USD,423000,US,L
158,2021,SE,Data Analytics Manager,120000,USD,120000,US,M
159,2021,EN,Machine Learning Engineer,125000,USD,125000,US,S
160,2021,EX,Head of Data,230000,USD,230000,RU,L
161,2021,EX,Head of Data Science,85000,USD,85000,RU,M
162,2021,MI,Data Engineer,24000,EUR,28369,MT,L
163,2021,EN,Data Science Consultant,54000,EUR,63831,DE,L
164,2021,EX,Director of Data Science,110000,EUR,130026,DE,M
165,2021,SE,Data Specialist,165000,USD,165000,US,L
166,2021,EN,Data Engineer,80000,USD,80000,US,L
167,2021,EX,Director of Data Science,250000,USD,250000,US,L
168,2021,EN,BI Data Analyst,55000,USD,55000,US,S
169,2021,MI,Data Architect,150000,USD,150000,US,L
170,2021,MI,Data Architect,170000,USD,170000,US,L
171,2021,MI,Data Engineer,60000,GBP,82528,GB,L
172,2021,EN,Data Analyst,60000,USD,60000,US,S
173,2021,SE,Principal Data Scientist,235000,USD,235000,US,L
174,2021,SE,Research Scientist,51400,EUR,60757,PT,L
175,2021,SE,Data Engineering Manager,174000,USD,174000,US,L
176,2021,MI,Data Scientist,58000,MXN,2859,MX,S
177,2021,MI,Data Scientist,30400000,CLP,40038,CL,L
178,2021,EN,Machine Learning Engineer,81000,USD,81000,US,S
179,2021,MI,Data Scientist,420000,INR,5679,US,S
